time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
110	100.53270298632779	23.71	424.09	423.94	2.56	2.24	64.35	300.04	284.24	6.36	22.01	10.28	53.28	0.00	1.97	Infinity	76.02	47.79	37.14	0.00	0.30	Infinity	24.96	24.86	0.60	0.00	2.99	Infinity	0.00	13.66	Infinity	61.05	35.61	41.67
111	100.64589453771453	22.92	439.09	442.87	0.82	2.25	277.36	295.90	299.00	1.16	22.03	10.25	53.50	0.00	2.03	Infinity	75.74	49.40	34.77	0.00	0.31	Infinity	10.60	25.61	141.52	0.00	3.04	Infinity	0.00	12.87	Infinity	62.83	38.10	39.36
112	94.63379791296707	20.93	452.15	462.85	0.92	2.27	235.65	307.36	314.51	2.57	20.87	10.21	51.10	0.00	2.10	Infinity	70.07	51.07	27.11	0.00	0.32	Infinity	14.84	26.38	77.83	0.00	3.09	Infinity	0.00	12.12	Infinity	68.07	40.77	40.10
113	86.05585951152652	18.81	457.39	483.93	1.02	2.29	197.93	320.40	330.83	3.60	16.40	10.17	38.02	0.00	2.16	Infinity	67.57	52.80	21.86	0.00	0.34	Infinity	15.26	27.18	78.12	0.00	3.15	Infinity	0.00	11.39	Infinity	68.01	43.62	35.86
114	77.39314422359146	15.79	490.26	506.17	1.07	2.31	184.17	348.51	347.98	0.17	17.72	10.12	42.88	1.29	2.23	91.00	72.51	54.58	24.73	0.00	0.35	Infinity	14.93	28.00	87.57	0.00	3.22	Infinity	0.00	10.71	Infinity	68.48	46.67	31.85
115	80.07760225341306	15.67	511.10	529.65	2.67	2.34	20.01	368.81	366.02	0.84	15.75	10.08	36.01	1.30	2.30	96.71	73.56	56.43	23.29	0.00	0.37	Infinity	12.66	28.84	127.89	0.00	3.29	Infinity	0.00	10.06	Infinity	73.17	49.93	31.77
116	61.517873510179236	12.45	493.98	554.41	2.72	2.36	20.66	369.55	384.99	4.62	13.51	10.03	25.71	1.50	2.37	72.50	66.62	58.34	12.43	0.00	0.38	Infinity	16.72	29.71	77.74	0.00	3.37	Infinity	0.00	9.45	Infinity	60.31	53.40	11.46
117	57.18713470669566	11.49	497.91	580.54	4.38	2.39	72.51	384.12	404.95	6.00	12.90	9.99	22.58	1.82	2.44	42.38	61.88	60.32	2.52	0.97	0.40	116.90	20.42	30.62	49.98	0.00	3.44	Infinity	0.00	8.88	Infinity	50.93	57.11	12.14
118	55.10035205079358	10.89	506.02	595.99	4.42	2.47	70.47	388.38	416.54	8.02	9.77	9.96	1.91	1.98	2.54	35.13	60.97	61.12	0.24	1.05	0.43	117.68	25.08	31.10	24.00	0.00	3.53	Infinity	0.00	8.34	Infinity	54.38	59.96	10.26
119	99.16112774626833	21.19	468.02	603.01	2.50	2.57	4.14	365.30	421.52	17.03	5.25	9.94	89.28	2.13	2.66	31.38	53.60	60.99	13.78	1.13	0.47	115.59	30.13	31.26	3.74	0.00	3.63	Infinity	0.00	7.85	Infinity	45.11	62.12	37.69
