date,weekday,District,vmt.sum,vmt.predict,typical_vmt_diff
4/6/2020,Monday,MnDOT Statewide,NA,NA,-37.1
4/7/2020,Tuesday,MnDOT Statewide,NA,NA,-35
4/8/2020,Wednesday,MnDOT Statewide,NA,NA,-34.8
4/9/2020,Thursday,MnDOT Statewide,NA,NA,-36.2
4/10/2020,Friday,MnDOT Statewide,NA,NA,-38.4
4/11/2020,Saturday,MnDOT Statewide,NA,NA,-39.4
4/12/2020,Sunday,MnDOT Statewide,NA,NA,-65.5
4/13/2020,Monday,MnDOT Statewide,NA,NA,-37.5
4/14/2020,Tuesday,MnDOT Statewide,NA,NA,-34.9
4/15/2020,Wednesday,MnDOT Statewide,NA,NA,-31.5
4/16/2020,Thursday,MnDOT Statewide,NA,NA,-31.4
4/17/2020,Friday,MnDOT Statewide,NA,NA,-32.3
4/18/2020,Saturday,MnDOT Statewide,NA,NA,-32
4/19/2020,Sunday,MnDOT Statewide,NA,NA,-36.8
4/20/2020,Monday,MnDOT Statewide,NA,NA,-29.5
4/21/2020,Tuesday,MnDOT Statewide,NA,NA,-26.6
4/22/2020,Wednesday,MnDOT Statewide,NA,NA,-21.3
4/23/2020,Thursday,MnDOT Statewide,NA,NA,-23.7
4/24/2020,Friday,MnDOT Statewide,NA,NA,-25.8
4/25/2020,Saturday,MnDOT Statewide,NA,NA,-25.1
4/26/2020,Sunday,MnDOT Statewide,NA,NA,-26.8
4/27/2020,Monday,MnDOT Statewide,NA,NA,-18.7
4/28/2020,Tuesday,MnDOT Statewide,NA,NA,-24.8
4/29/2020,Wednesday,MnDOT Statewide,NA,NA,-18.4
4/30/2020,Thursday,MnDOT Statewide,NA,NA,-13.7
5/1/2020,Friday,MnDOT Statewide,NA,NA,-29.7
5/2/2020,Saturday,MnDOT Statewide,NA,NA,-27.8
5/3/2020,Sunday,MnDOT Statewide,NA,NA,-31
5/4/2020,Monday,MnDOT Statewide,NA,NA,-23.6
5/5/2020,Tuesday,MnDOT Statewide,NA,NA,-28.1
5/6/2020,Wednesday,MnDOT Statewide,NA,NA,-22.7
5/7/2020,Thursday,MnDOT Statewide,NA,NA,-25.3
5/8/2020,Friday,MnDOT Statewide,NA,NA,-26.1
5/9/2020,Saturday,MnDOT Statewide,NA,NA,-30.7
5/10/2020,Sunday,MnDOT Statewide,NA,NA,-31.4
5/11/2020,Monday,MnDOT Statewide,NA,NA,-20.9
5/12/2020,Tuesday,MnDOT Statewide,NA,NA,-20.4
5/13/2020,Wednesday,MnDOT Statewide,NA,NA,-23.7
5/14/2020,Thursday,MnDOT Statewide,NA,NA,-22
5/15/2020,Friday,MnDOT Statewide,NA,NA,-21.3
5/16/2020,Saturday,MnDOT Statewide,NA,NA,-27.4
5/17/2020,Sunday,MnDOT Statewide,NA,NA,-30.4
5/18/2020,Monday,MnDOT Statewide,NA,NA,-13.8
5/19/2020,Tuesday,MnDOT Statewide,NA,NA,-14
5/20/2020,Wednesday,MnDOT Statewide,NA,NA,-9.7
5/21/2020,Thursday,MnDOT Statewide,NA,NA,-10
5/22/2020,Friday,MnDOT Statewide,NA,NA,-10.9
5/23/2020,Saturday,MnDOT Statewide,NA,NA,-18.3
5/24/2020,Sunday,MnDOT Statewide,NA,NA,-24.7
5/25/2020,Monday,MnDOT Statewide,NA,NA,-19.2
5/26/2020,Tuesday,MnDOT Statewide,NA,NA,-11.2
5/27/2020,Wednesday,MnDOT Statewide,NA,NA,-9.7
5/28/2020,Thursday,MnDOT Statewide,NA,NA,-13.8
5/29/2020,Friday,MnDOT Statewide,NA,NA,-15.8
5/30/2020,Saturday,MnDOT Statewide,NA,NA,-16.7
5/31/2020,Sunday,MnDOT Statewide,NA,NA,-16.5
6/1/2020,Monday,MnDOT Statewide,NA,NA,-14.4
6/2/2020,Tuesday,MnDOT Statewide,NA,NA,-14.8
6/3/2020,Wednesday,MnDOT Statewide,NA,NA,-13.1
6/4/2020,Thursday,MnDOT Statewide,NA,NA,-13
6/5/2020,Friday,MnDOT Statewide,NA,NA,-11.8
6/6/2020,Saturday,MnDOT Statewide,NA,NA,-14.7
6/7/2020,Sunday,MnDOT Statewide,NA,NA,-19.1
6/8/2020,Monday,MnDOT Statewide,NA,NA,-13
6/9/2020,Tuesday,MnDOT Statewide,NA,NA,-15.8
6/10/2020,Wednesday,MnDOT Statewide,NA,NA,-13.9
6/11/2020,Thursday,MnDOT Statewide,NA,NA,-9.8
6/12/2020,Friday,MnDOT Statewide,NA,NA,-9.2
6/13/2020,Saturday,MnDOT Statewide,NA,NA,-10.8
6/14/2020,Sunday,MnDOT Statewide,NA,NA,-11.5
6/15/2020,Monday,MnDOT Statewide,NA,NA,-8.2
6/16/2020,Tuesday,MnDOT Statewide,NA,NA,-7.3
6/17/2020,Wednesday,MnDOT Statewide,NA,NA,-7
6/18/2020,Thursday,MnDOT Statewide,NA,NA,-11.7
6/19/2020,Friday,MnDOT Statewide,NA,NA,-6.1
6/20/2020,Saturday,MnDOT Statewide,NA,NA,-10
6/21/2020,Sunday,MnDOT Statewide,NA,NA,-9
6/22/2020,Monday,MnDOT Statewide,NA,NA,-6.4
6/23/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
6/24/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
6/25/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
6/26/2020,Friday,MnDOT Statewide,NA,NA,2.5
6/27/2020,Saturday,MnDOT Statewide,NA,NA,4.7
6/28/2020,Sunday,MnDOT Statewide,NA,NA,2.6
6/29/2020,Monday,MnDOT Statewide,NA,NA,2.5
6/30/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
7/1/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
7/2/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
7/3/2020,Friday,MnDOT Statewide,NA,NA,2.5
7/4/2020,Saturday,MnDOT Statewide,NA,NA,4.7
7/5/2020,Sunday,MnDOT Statewide,NA,NA,2.6
7/6/2020,Monday,MnDOT Statewide,NA,NA,2.5
7/7/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
7/8/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
7/9/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
7/10/2020,Friday,MnDOT Statewide,NA,NA,2.5
7/11/2020,Saturday,MnDOT Statewide,NA,NA,4.7
7/12/2020,Sunday,MnDOT Statewide,NA,NA,2.6
7/13/2020,Monday,MnDOT Statewide,NA,NA,2.5
7/14/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
7/15/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
7/16/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
7/17/2020,Friday,MnDOT Statewide,NA,NA,2.5
7/18/2020,Saturday,MnDOT Statewide,NA,NA,4.7
7/19/2020,Sunday,MnDOT Statewide,NA,NA,2.6
7/20/2020,Monday,MnDOT Statewide,NA,NA,2.5
7/21/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
7/22/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
7/23/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
7/24/2020,Friday,MnDOT Statewide,NA,NA,2.5
7/25/2020,Saturday,MnDOT Statewide,NA,NA,4.7
7/26/2020,Sunday,MnDOT Statewide,NA,NA,2.6
7/27/2020,Monday,MnDOT Statewide,NA,NA,2.5
7/28/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
7/29/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
7/30/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
7/31/2020,Friday,MnDOT Statewide,NA,NA,2.5
8/1/2020,Saturday,MnDOT Statewide,NA,NA,4.7
8/2/2020,Sunday,MnDOT Statewide,NA,NA,2.6
8/3/2020,Monday,MnDOT Statewide,NA,NA,2.5
8/4/2020,Tuesday,MnDOT Statewide,NA,NA,2.2
8/5/2020,Wednesday,MnDOT Statewide,NA,NA,3.6
8/6/2020,Thursday,MnDOT Statewide,NA,NA,-1.3
8/7/2020,Friday,MnDOT Statewide,NA,NA,2.5
