time	total error	% error	count	predicted	27001 reported	27001 predicted	27001% error	27003 reported	27003 predicted	27003% error	27005 reported	27005 predicted	27005% error	27007 reported	27007 predicted	27007% error	27009 reported	27009 predicted	27009% error	27011 reported	27011 predicted	27011% error	27013 reported	27013 predicted	27013% error	27015 reported	27015 predicted	27015% error	27017 reported	27017 predicted	27017% error	27019 reported	27019 predicted	27019% error
102	53.39919607023978	20.57	259.64	293.50	0.00	1.42	Infinity	225.95	208.76	10.37	11.09	9.95	12.67	0.94	0.49	47.25	26.95	9.19	65.91	0.99	0.37	62.16	21.69	15.01	30.82	0.00	1.09	Infinity	22.52	17.86	20.69	31.75	29.36	20.25
103	82.47905151017787	40.81	202.09	305.59	0.00	1.50	Infinity	185.15	217.53	23.84	12.60	10.26	22.91	0.00	0.54	Infinity	28.43	10.46	63.20	0.61	0.41	32.61	13.80	15.69	13.64	0.00	1.03	Infinity	7.10	17.06	140.38	16.43	31.12	240.06
104	107.28617906454609	46.46	230.92	318.17	0.00	1.58	Infinity	170.20	226.43	40.56	12.17	10.57	13.14	0.00	0.58	Infinity	41.34	11.93	71.14	0.62	0.45	29.13	17.35	16.45	6.37	0.00	0.96	Infinity	15.60	16.22	10.01	17.77	33.00	85.66
105	109.40157671659861	41.06	266.43	331.34	0.00	1.66	Infinity	191.66	235.50	28.08	13.16	10.88	17.33	0.00	0.64	Infinity	52.31	13.61	73.98	0.61	0.50	20.29	17.85	17.28	3.85	0.00	0.90	Infinity	0.00	15.37	Infinity	29.67	35.00	17.95
106	80.52787112528162	25.53	315.41	345.19	0.00	1.75	Infinity	232.99	244.80	6.23	15.21	11.18	26.48	0.00	0.69	Infinity	57.42	15.53	72.95	0.00	0.55	Infinity	21.17	18.19	17.24	0.00	0.84	Infinity	0.00	14.52	Infinity	35.68	37.13	4.07
107	90.25176577277871	25.16	358.74	359.82	3.05	1.84	213.68	261.40	254.38	3.30	19.13	11.49	39.92	0.00	0.75	Infinity	68.25	17.73	74.03	0.00	0.60	Infinity	16.28	19.16	21.58	0.00	0.78	Infinity	0.00	13.68	Infinity	44.57	39.40	11.60
108	120.86717320303622	29.75	406.24	375.31	2.64	1.94	143.66	288.42	264.26	10.29	21.98	11.80	46.29	0.00	0.82	Infinity	78.95	20.24	74.37	0.00	0.67	Infinity	22.75	20.19	13.76	0.00	0.73	Infinity	0.00	12.86	Infinity	51.29	41.81	18.48
109	112.54491063478542	27.45	410.04	391.74	2.65	2.03	125.70	293.63	274.46	8.01	21.98	12.12	44.86	0.00	0.89	Infinity	80.94	23.10	71.46	0.00	0.74	Infinity	18.53	21.28	18.14	0.00	0.68	Infinity	0.00	12.06	Infinity	52.31	44.37	15.18
110	110.28295257184129	26.00	424.09	409.21	2.72	2.14	115.46	305.03	285.02	8.06	22.01	12.44	43.45	0.00	0.97	Infinity	76.02	26.36	65.32	0.00	0.82	Infinity	19.64	22.44	17.46	0.00	0.63	Infinity	0.00	11.30	Infinity	61.05	47.09	22.86
111	97.26083242501505	22.15	439.09	427.81	1.00	2.24	241.04	285.24	295.97	4.01	22.03	12.77	42.02	0.00	1.05	Infinity	75.74	30.09	60.27	0.00	0.90	Infinity	19.24	23.67	41.78	0.00	0.59	Infinity	0.00	10.56	Infinity	62.83	49.98	20.46
112	85.27057961316945	18.86	452.15	447.67	1.11	2.35	215.99	296.29	307.33	3.97	20.87	13.11	37.19	0.00	1.14	Infinity	70.07	34.34	50.99	0.00	1.00	Infinity	26.92	24.97	13.15	0.00	0.54	Infinity	0.00	9.85	Infinity	68.07	53.04	22.08
113	67.89620746892297	14.84	457.39	468.88	1.24	2.47	192.04	308.86	319.11	3.54	16.40	13.46	17.97	0.00	1.24	Infinity	67.57	39.20	41.99	0.00	1.10	Infinity	27.68	26.33	8.83	0.00	0.50	Infinity	0.00	9.18	Infinity	68.01	56.29	17.23
114	57.480400405162634	11.72	490.26	491.57	1.30	2.59	191.80	335.96	331.34	1.47	17.72	13.81	22.08	1.13	1.34	20.78	72.51	44.73	38.31	0.00	1.22	Infinity	27.08	27.78	4.67	0.00	0.47	Infinity	0.00	8.55	Infinity	68.48	59.74	12.76
115	62.24505061078646	12.18	511.10	515.88	3.24	2.72	31.29	355.52	344.05	3.44	15.75	14.17	10.02	1.13	1.46	31.23	73.56	51.05	30.60	0.00	1.34	Infinity	22.96	29.30	50.08	0.00	0.43	Infinity	0.00	7.95	Infinity	73.17	63.40	13.35
116	27.93508998091415	5.66	493.98	541.93	3.30	2.85	26.10	356.24	357.24	0.30	13.51	14.54	7.69	1.31	1.58	22.44	66.62	58.25	12.56	0.00	1.48	Infinity	30.33	30.90	3.42	0.00	0.40	Infinity	0.00	7.39	Infinity	60.31	67.29	11.57
